GO #,GO name,change in expression: alarm pher : control
GO:0004090,carbonyl reductase (NADPH) activity,up
GO:0043015,gamma-tubulin binding,up
GO:0010259,multicellular organismal aging,up
GO:0007568,aging,up
GO:0008355,olfactory learning,up
GO:0008340,determination of adult life span,up
GO:0007391,dorsal closure,up
GO:0006260,DNA replication,up
GO:0051493,regulation of cytoskeleton organization and biogenesis,up
GO:0042679,compound eye cone cell fate specification,up
GO:0048070,regulation of developmental pigmentation,up
GO:0033043,regulation of organelle organization and biogenesis,up
GO:0030308,negative regulation of cell growth,up
GO:0042682,regulation of compound eye cone cell fate specification,up
GO:0030035,microspike biogenesis,up
GO:0042683,negative regulation of compound eye cone cell fate specification,up
GO:0051345,positive regulation of hydrolase activity,up
GO:0046847,filopodium formation,up
GO:0030721,spectrosome organization and biogenesis,up
GO:0006100,tricarboxylic acid cycle intermediate metabolic process,up
GO:0032231,regulation of actin filament bundle formation,up
GO:0006606,protein import into nucleus,up
GO:0017038,protein import,up
GO:0004004,ATP-dependent RNA helicase activity,up
GO:0008186,RNA-dependent ATPase activity,up
GO:0051170,nuclear import,up
GO:0008283,cell proliferation,up
GO:0016049,cell growth,up
GO:0001745,compound eye morphogenesis,up
GO:0030032,lamellipodium biogenesis,up
GO:0050804,regulation of synaptic transmission,up
GO:0007319,negative regulation of oskar mRNA translation,up
GO:0046626,regulation of insulin receptor signaling pathway,up
GO:0009566,fertilization,up
GO:0031644,regulation of neurological process,up
GO:0030725,ring canal formation,up
GO:0046533,negative regulation of photoreceptor cell differentiation,up
GO:0042308,negative regulation of protein import into nucleus,up
GO:0043063,intercellular bridge organization and biogenesis,up
GO:0046627,negative regulation of insulin receptor signaling pathway,up
GO:0007301,ovarian ring canal formation,up
GO:0008306,associative learning,up
GO:0051969,regulation of transmission of nerve impulse,up
GO:0045198,establishment of epithelial cell polarity,up
GO:0046330,positive regulation of JNK cascade,up
GO:0035089,establishment of apical/basal cell polarity,up
GO:0030859,polarized epithelial cell differentiation,up
GO:0008361,regulation of cell size,up
GO:0006457,protein folding,up
GO:0045839,negative regulation of mitosis,up
GO:0042045,epithelial fluid transport,up
GO:0048065,"male courtship behavior, veined wing extension",up
GO:0005528,FK506 binding,up
GO:0005527,macrolide binding,up
GO:0019238,cyclohydrolase activity,up
GO:0006865,amino acid transport,up
GO:0015837,amine transport,up
GO:0007617,mating behavior,up
GO:0051705,behavioral interaction between organisms,up
GO:0007619,courtship behavior,up
GO:0008513,secondary active organic cation transmembrane transporter activity,up
GO:0007088,regulation of mitosis,up
GO:0042044,fluid transport,up
GO:0019887,protein kinase regulator activity,up
GO:0008049,male courtship behavior,up
GO:0019098,reproductive behavior,up
GO:0007618,mating,up
GO:0045786,negative regulation of progression through cell cycle,up
GO:0006665,sphingolipid metabolic process,up
GO:0007096,regulation of exit from mitosis,up
GO:0015101,organic cation transmembrane transporter activity,up
GO:0042578,phosphoric ester hydrolase activity,up
GO:0033057,reproductive behavior in a multicellular organism,up
GO:0016620,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",up
GO:0008104,protein localization,up
GO:0000054,ribosome export from nucleus,up
GO:0042632,cholesterol homeostasis,up
GO:0006265,DNA topological change,up
GO:0050678,regulation of epithelial cell proliferation,up
GO:0015807,L-amino acid transport,up
GO:0045841,negative regulation of mitotic metaphase/anaphase transition,up
GO:0000055,ribosomal large subunit export from nucleus,up
GO:0000101,sulfur amino acid transport,up
GO:0015811,L-cystine transport,up
GO:0006939,smooth muscle contraction,up
GO:0050673,epithelial cell proliferation,up
GO:0045218,zonula adherens maintenance,up
GO:0050680,negative regulation of epithelial cell proliferation,up
GO:0003729,mRNA binding,up
GO:0008440,inositol trisphosphate 3-kinase activity,up
GO:0008113,protein-methionine-S-oxide reductase activity,up
GO:0030507,spectrin binding,up
GO:0003958,NADPH-hemoprotein reductase activity,up
GO:0015184,L-cystine transmembrane transporter activity,up
GO:0003933,GTP cyclohydrolase activity,up
GO:0051748,UDP-sugar pyrophosphorylase activity,up
GO:0017084,delta1-pyrroline-5-carboxylate synthetase activity,up
GO:0004754,"saccharopine dehydrogenase (NAD+, L-lysine-forming) activity",up
GO:0022829,wide pore channel activity,up
GO:0003934,GTP cyclohydrolase I activity,up
GO:0017095,heparan sulfate 6-O-sulfotransferase activity,up
GO:0005243,gap junction channel activity,up
GO:0004349,glutamate 5-kinase activity,up
GO:0000099,sulfur amino acid transmembrane transporter activity,up
GO:0046899,nucleoside triphosphate adenylate kinase activity,up
GO:0004046,aminoacylase activity,up
GO:0051185,coenzyme transporter activity,up
GO:0031491,nucleosome binding,up
GO:0003983,UTP:glucose-1-phosphate uridylyltransferase activity,up
GO:0004350,glutamate-5-semialdehyde dehydrogenase activity,up
GO:0008521,acetyl-CoA transporter activity,up
GO:0016484,proprotein convertase 2 activator activity,up
GO:0004019,adenylosuccinate synthase activity,up
GO:0004753,saccharopine dehydrogenase activity,up
GO:0016791,phosphoric monoester hydrolase activity,up
GO:0007520,myoblast fusion,up
GO:0045433,"male courtship behavior, veined wing generated song production",up
GO:0016545,"male courtship behavior, veined wing vibration",up
GO:0006396,RNA processing,up
GO:0006527,arginine catabolic process,down
GO:0006525,arginine metabolic process,down
GO:0000051,urea cycle intermediate metabolic process,down
GO:0005198,structural molecule activity,down
GO:0051320,S phase,down
GO:0045750,positive regulation of S phase of mitotic cell cycle,down
GO:0033261,regulation of progression through S phase,down
GO:0007090,regulation of S phase of mitotic cell cycle,down
GO:0000084,S phase of mitotic cell cycle,down
GO:0045931,positive regulation of progression through mitotic cell cycle,down
GO:0006367,transcription initiation from RNA polymerase II promoter,down
GO:0006352,transcription initiation,down
GO:0016651,"oxidoreductase activity, acting on NADH or NADPH",down
GO:0030508,thiol-disulfide exchange intermediate activity,down
GO:0051325,interphase,down
GO:0051329,interphase of mitotic cell cycle,down
GO:0045787,positive regulation of progression through cell cycle,down
GO:0009065,glutamine family amino acid catabolic process,down
GO:0015036,disulfide oxidoreductase activity,down
GO:0009056,catabolic process,down
GO:0065004,protein-DNA complex assembly,down
GO:0016251,general RNA polymerase II transcription factor activity,down
GO:0016455,RNA polymerase II transcription mediator activity,down
GO:0015077,monovalent inorganic cation transmembrane transporter activity,down
GO:0015078,hydrogen ion transmembrane transporter activity,down
GO:0006082,organic acid metabolic process,down
GO:0019752,carboxylic acid metabolic process,down
GO:0004634,phosphopyruvate hydratase activity,down
GO:0017151,DEAD/H-box RNA helicase binding,down
GO:0008117,sphinganine-1-phosphate aldolase activity,down
GO:0017047,adrenocorticotropin-releasing hormone binding,down
GO:0004799,thymidylate synthase activity,down
GO:0004619,phosphoglycerate mutase activity,down
GO:0017046,peptide hormone binding,down
GO:0016749,N-succinyltransferase activity,down
GO:0004587,ornithine-oxo-acid transaminase activity,down
GO:0004074,biliverdin reductase activity,down
GO:0015183,L-aspartate transmembrane transporter activity,down
GO:0004740,[pyruvate dehydrogenase (lipoamide)] kinase activity,down
GO:0004102,choline O-acetyltransferase activity,down
GO:0003959,NADPH dehydrogenase activity,down
GO:0005369,taurine:sodium symporter activity,down
GO:0042083,"5,10-methylenetetrahydrofolate-dependent methyltransferase activity",down
GO:0003870,5-aminolevulinate synthase activity,down
GO:0035174,histone serine kinase activity,down
GO:0030616,"transforming growth factor beta receptor, common-partner cytoplasmic mediator activity",down
GO:0005368,taurine transmembrane transporter activity,down
GO:0019544,arginine catabolic process to glutamate,down
GO:0009894,regulation of catabolic process,down
GO:0042176,regulation of protein catabolic process,down
GO:0032049,cardiolipin biosynthetic process,down
GO:0006591,ornithine metabolic process,down
GO:0015734,taurine transport,down
GO:0032048,cardiolipin metabolic process,down
GO:0008292,acetylcholine biosynthetic process,down
GO:0015718,monocarboxylic acid transport,down
GO:0009263,deoxyribonucleotide biosynthetic process,down
GO:0000117,G2/M-specific transcription in mitotic cell cycle,down
GO:0019547,arginine catabolic process to ornithine,down
GO:0009262,deoxyribonucleotide metabolic process,down
GO:0006404,RNA import into nucleus,down
GO:0000074,regulation of progression through cell cycle,down
GO:0009064,glutamine family amino acid metabolic process,down
GO:0003735,structural constituent of ribosome,down
GO:0051726,regulation of cell cycle,down
GO:0044248,cellular catabolic process,down
GO:0003954,NADH dehydrogenase activity,down
GO:0006120,"mitochondrial electron transport, NADH to ubiquinone",down
GO:0006118,electron transport,down
GO:0009055,electron carrier activity,down
GO:0006519,amino acid and derivative metabolic process,down
GO:0016491,oxidoreductase activity,down
GO:0008152,metabolic process,down
GO:0030163,protein catabolic process,down
GO:0009063,amino acid catabolic process,down
GO:0016748,succinyltransferase activity,down
GO:0016509,long-chain-3-hydroxyacyl-CoA dehydrogenase activity,down
GO:0005313,L-glutamate transmembrane transporter activity,down
GO:0008453,alanine-glyoxylate transaminase activity,down
GO:0015172,acidic amino acid transmembrane transporter activity,down
GO:0035173,histone kinase activity,down
GO:0008474,palmitoyl-(protein) hydrolase activity,down
GO:0016986,transcription initiation factor activity,down
GO:0004551,nucleotide diphosphatase activity,down
GO:0016413,O-acetyltransferase activity,down
GO:0016253,UDP-N-acetylglucosamine-peptide N-acetylglucosaminyltransferase activity,down
GO:0005252,open rectifier potassium channel activity,down
GO:0004053,arginase activity,down
GO:0016628,"oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor",down
GO:0004829,threonine-tRNA ligase activity,down
GO:0015501,glutamate:sodium symporter activity,down
GO:0006983,ER overload response,down
GO:0008291,acetylcholine metabolic process,down
GO:0019794,nonprotein amino acid metabolic process,down
GO:0046426,negative regulation of JAK-STAT cascade,down
GO:0042787,protein ubiquitination during ubiquitin-dependent protein catabolic process,down
GO:0051237,maintenance of RNA localization,down
GO:0046594,maintenance of pole plasm mRNA localization,down
GO:0051716,cellular response to stimulus,down
GO:0006435,threonyl-tRNA aminoacylation,down
GO:0033554,cellular response to stress,down
GO:0009308,amine metabolic process,down
GO:0006510,ATP-dependent proteolysis,down
GO:0051082,unfolded protein binding,down
GO:0006807,nitrogen compound metabolic process,down
GO:0022890,inorganic cation transmembrane transporter activity,down
GO:0009310,amine catabolic process,down
GO:0044270,nitrogen compound catabolic process,down
GO:0046683,response to organophosphorus,down
GO:0006581,acetylcholine catabolic process,down
GO:0008272,sulfate transport,down
GO:0019695,choline metabolic process,down
GO:0046681,response to carbamate,down
GO:0042426,choline catabolic process,down
GO:0042135,neurotransmitter catabolic process,down
GO:0016338,calcium-independent cell-cell adhesion,down
GO:0050916,sensory perception of sweet taste,down
GO:0004104,cholinesterase activity,down
GO:0003990,acetylcholinesterase activity,down
GO:0005415,nucleoside:sodium symporter activity,down
GO:0004720,protein-lysine 6-oxidase activity,down
GO:0003709,RNA polymerase III transcription factor activity,down
GO:0004139,deoxyribose-phosphate aldolase activity,down
GO:0016477,cell migration,down
GO:0006928,cell motility,down
GO:0035234,germ cell programmed cell death,down
GO:0007158,neuron adhesion,down
GO:0006434,seryl-tRNA aminoacylation,down
GO:0051674,localization of cell,down
GO:0004596,peptide alpha-N-acetyltransferase activity,down
GO:0004948,calcitonin receptor activity,down
GO:0003886,DNA (cytosine-5-)-methyltransferase activity,down
GO:0004930,G-protein coupled receptor activity,down
GO:0019915,sequestering of lipid,down
GO:0006359,regulation of transcription from RNA polymerase III promoter,down
GO:0004828,serine-tRNA ligase activity,down
GO:0009008,DNA-methyltransferase activity,down
GO:0001633,secretin-like receptor activity,down
GO:0008431,vitamin E binding,down
GO:0007186,G-protein coupled receptor protein signaling pathway,down
GO:0022857,transmembrane transporter activity,down
GO:0042439,ethanolamine and derivative metabolic process,down
GO:0050829,defense response to Gram-negative bacterium,down
GO:0042402,biogenic amine catabolic process,down
GO:0046983,protein dimerization activity,down
GO:0022804,active transmembrane transporter activity,down
GO:0016918,retinal binding,down
GO:0016641,"oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor",down
GO:0016832,aldehyde-lyase activity,down
GO:0042219,amino acid derivative catabolic process,down
GO:0005215,transporter activity,down
GO:0009416,response to light stimulus,down
GO:0008527,taste receptor activity,down
GO:0015932,"nucleobase, nucleoside, nucleotide and nucleic acid transmembrane transporter activity",down
GO:0005337,nucleoside transmembrane transporter activity,down
GO:0005234,extracellular-glutamate-gated ion channel activity,down
GO:0008271,secondary active sulfate transmembrane transporter activity,down
GO:0015116,sulfate transmembrane transporter activity,down
GO:0031290,retinal ganglion cell axon guidance,down
GO:0017085,response to insecticide,down
GO:0007157,heterophilic cell adhesion,down
GO:0042773,ATP synthesis coupled electron transport,down
GO:0042775,organelle ATP synthesis coupled electron transport,down
GO:0006119,oxidative phosphorylation,down
GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",down
GO:0016675,"oxidoreductase activity, acting on heme group of donors",down
GO:0015002,heme-copper terminal oxidase activity,down
GO:0004129,cytochrome-c oxidase activity,down
GO:0016676,"oxidoreductase activity, acting on heme group of donors, oxygen as acceptor",down
GO:0006091,generation of precursor metabolites and energy,down
GO:0008324,cation transmembrane transporter activity,down
GO:0050136,NADH dehydrogenase (quinone) activity,down
GO:0008137,NADH dehydrogenase (ubiquinone) activity,down
GO:0016655,"oxidoreductase activity, acting on NADH or NADPH, quinone or similar compound as acceptor",down
GO:0015075,ion transmembrane transporter activity,down
GO:0022891,substrate-specific transmembrane transporter activity,down
GO:0022892,substrate-specific transporter activity,down
GO:0004091,carboxylesterase activity,down
GO:0015992,proton transport,down
GO:0006818,hydrogen transport,down
GO:0016776,"phosphotransferase activity, phosphate group as acceptor",down
GO:0015405,P-P-bond-hydrolysis-driven transmembrane transporter activity,down
GO:0015399,primary active transmembrane transporter activity,down
GO:0004806,triacylglycerol lipase activity,down
GO:0016830,carbon-carbon lyase activity,down
GO:0044237,cellular metabolic process,down
GO:0006580,ethanolamine metabolic process,down
GO:0018215,protein amino acid phosphopantetheinylation,down
GO:0046335,ethanolamine biosynthetic process,down
GO:0006646,phosphatidylethanolamine biosynthetic process,down
GO:0046337,phosphatidylethanolamine metabolic process,down
GO:0046959,habituation,down
GO:0016298,lipase activity,down
GO:0004638,phosphoribosylaminoimidazole carboxylase activity,down
GO:0008506,sucrose:hydrogen symporter activity,down
GO:0015925,galactosidase activity,down
GO:0004398,histidine decarboxylase activity,down
GO:0004392,heme oxygenase (decyclizing) activity,down
GO:0008892,guanine deaminase activity,down
GO:0047057,vitamin-K-epoxide reductase (warfarin-sensitive) activity,down
GO:0015154,disaccharide transmembrane transporter activity,down
GO:0008515,sucrose transmembrane transporter activity,down
GO:0019895,kinesin-associated mitochondrial adaptor activity,down
GO:0004747,ribokinase activity,down
GO:0005243,gap junction channel activity,down
GO:0005402,cation:sugar symporter activity,down
GO:0005403,hydrogen:sugar symporter activity,down
GO:0016900,"oxidoreductase activity, acting on the CH-OH group of donors, disulfide as acceptor",down
GO:0008897,phosphopantetheinyltransferase activity,down
GO:0004128,cytochrome-b5 reductase activity,down
GO:0016920,pyroglutamyl-peptidase activity,down
GO:0004219,pyroglutamyl-peptidase I activity,down
GO:0008430,selenium binding,down
GO:0004631,phosphomevalonate kinase activity,down
GO:0004164,diphthine synthase activity,down
GO:0035049,juvenile hormone acid methyltransferase activity,down
GO:0004565,beta-galactosidase activity,down
GO:0018392,glycoprotein 3-alpha-L-fucosyltransferase activity,down
GO:0017051,retinol dehydratase activity,down
GO:0022829,wide pore channel activity,down
GO:0004639,phosphoribosylaminoimidazolesuccinocarboxamide synthase activity,down
GO:0003824,catalytic activity,down
GO:0008553,"hydrogen-exporting ATPase activity, phosphorylative mechanism",down
GO:0022884,macromolecule transmembrane transporter activity,down
GO:0015450,protein transmembrane transporter activity,down
GO:0046246,terpene biosynthetic process,down
GO:0006172,ADP biosynthetic process,down
GO:0017183,peptidyl-diphthamide biosynthetic process from peptidyl-histidine,down
GO:0009133,nucleoside diphosphate biosynthetic process,down
GO:0009179,purine ribonucleoside diphosphate metabolic process,down
GO:0016106,sesquiterpenoid biosynthetic process,down
GO:0006718,juvenile hormone biosynthetic process,down
GO:0016114,terpenoid biosynthetic process,down
GO:0009135,purine nucleoside diphosphate metabolic process,down
GO:0017182,peptidyl-diphthamide metabolic process,down
GO:0009188,ribonucleoside diphosphate biosynthetic process,down
GO:0051762,sesquiterpene biosynthetic process,down
GO:0046031,ADP metabolic process,down
GO:0009185,ribonucleoside diphosphate metabolic process,down
GO:0009180,purine ribonucleoside diphosphate biosynthetic process,down
GO:0018202,peptidyl-histidine modification,down
GO:0019896,axon transport of mitochondrion,down
GO:0031053,primary microRNA processing,down
GO:0009136,purine nucleoside diphosphate biosynthetic process,down
GO:0016812,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides",down
GO:0004295,trypsin activity,down
GO:0004364,glutathione transferase activity,down
GO:0009881,photoreceptor activity,down
GO:0008020,G-protein coupled photoreceptor activity,down
GO:0004252,serine-type endopeptidase activity,down
GO:0005509,calcium ion binding,down
GO:0008513,secondary active organic cation transmembrane transporter activity,down
GO:0006726,eye pigment biosynthetic process,down
GO:0042441,eye pigment metabolic process,down
GO:0004089,carbonate dehydratase activity,down
GO:0008236,serine-type peptidase activity,down
GO:0042752,regulation of circadian rhythm,down
GO:0022410,circadian sleep/wake cycle process,down
GO:0045187,"regulation of circadian sleep/wake cycle, sleep",down
GO:0050802,"circadian sleep/wake cycle, sleep",down
GO:0042749,regulation of circadian sleep/wake cycle,down
GO:0042745,circadian sleep/wake cycle,down
GO:0043169,cation binding,down
GO:0046872,metal ion binding,down
GO:0015101,organic cation transmembrane transporter activity,down
GO:0017171,serine hydrolase activity,down
GO:0043167,ion binding,down
GO:0030431,sleep,down
GO:0006936,muscle contraction,down
GO:0048069,eye pigmentation,down
GO:0004175,endopeptidase activity,down
GO:0006952,defense response,down
GO:0019748,secondary metabolic process,down
GO:0016038,absorption of visible light,down
GO:0009253,peptidoglycan catabolic process,down
GO:0007215,glutamate signaling pathway,down
GO:0009588,"UV-A, blue light phototransduction",down
GO:0007208,"serotonin receptor, phospholipase C activating pathway",down
GO:0000270,peptidoglycan metabolic process,down
GO:0042249,establishment of polarity of embryonic epithelium,down
GO:0007429,"secondary branching, open tracheal system",down
GO:0009407,toxin catabolic process,down
GO:0007198,"serotonin receptor, adenylate cyclase inhibiting pathway",down
GO:0042274,ribosomal small subunit biogenesis and assembly,down
GO:0007216,metabotropic glutamate receptor signaling pathway,down
GO:0042178,xenobiotic catabolic process,down
GO:0006284,base-excision repair,down
GO:0046701,insecticide catabolic process,down
GO:0007193,"G-protein signaling, adenylate cyclase inhibiting pathway",down
GO:0006021,inositol biosynthetic process,down
GO:0007602,phototransduction,down
GO:0030674,"protein binding, bridging",down
GO:0005070,SH3/SH2 adaptor activity,down
GO:0045944,positive regulation of transcription from RNA polymerase II promoter,down
GO:0004527,exonuclease activity,down
GO:0008524,glucose 6-phosphate:phosphate antiporter activity,down
GO:0016716,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, another compound as one donor, and incorporation of one atom of oxygen",down
GO:0003705,"RNA polymerase II transcription factor activity, enhancer binding",down
GO:0016018,cyclosporin A binding,down
GO:0004170,dUTP diphosphatase activity,down
GO:0047429,nucleoside-triphosphate diphosphatase activity,down
GO:0004512,inositol-3-phosphate synthase activity,down
GO:0004503,monophenol monooxygenase activity,down
GO:0016872,intramolecular lyase activity,down
GO:0003943,N-acetylgalactosamine-4-sulfatase activity,down
GO:0004157,dihydropyrimidinase activity,down
GO:0001586,5-HT1 receptor activity,down
GO:0017168,5-oxoprolinase (ATP-hydrolyzing) activity,down
GO:0008970,phospholipase A1 activity,down
GO:0003934,GTP cyclohydrolase I activity,down
GO:0003933,GTP cyclohydrolase activity,down
GO:0008319,prenyl protein specific endopeptidase activity,down
GO:0008503,benzodiazepine receptor activity,down
GO:0015315,organophosphate:inorganic phosphate antiporter activity,down
GO:0019186,acyl-CoA N-acyltransferase activity,down
GO:0050962,detection of light stimulus during sensory perception,down
GO:0050908,detection of light stimulus during visual perception,down
GO:0042659,regulation of cell fate specification,down
GO:0009996,negative regulation of cell fate specification,down
GO:0009583,detection of light stimulus,down
GO:0046148,pigment biosynthetic process,down
GO:0009584,detection of visible light,down
GO:0050953,sensory perception of light stimulus,down
GO:0007601,visual perception,down
GO:0004693,cyclin-dependent protein kinase activity,down
GO:0004518,nuclease activity,down
GO:0006508,proteolysis,down
GO:0050906,detection of stimulus during sensory perception,down
GO:0009582,detection of abiotic stimulus,down
GO:0004520,endodeoxyribonuclease activity,down
GO:0015171,amino acid transmembrane transporter activity,down
GO:0060090,molecular adaptor activity,down
GO:0006357,regulation of transcription from RNA polymerase II promoter,down
GO:0043473,pigmentation,down
GO:0048066,pigmentation during development,down
GO:0009581,detection of external stimulus,down
GO:0006626,protein targeting to mitochondrion,down
GO:0016681,"oxidoreductase activity, acting on diphenols and related substances as donors, cytochrome as acceptor",down
GO:0008121,ubiquinol-cytochrome-c reductase activity,down
GO:0006122,"mitochondrial electron transport, ubiquinol to cytochrome c",down
GO:0000146,microfilament motor activity,down
GO:0006729,tetrahydrobiopterin biosynthetic process,down
GO:0046146,tetrahydrobiopterin metabolic process,down
GO:0016679,"oxidoreductase activity, acting on diphenols and related substances as donors",down
GO:0003899,DNA-directed RNA polymerase activity,down
GO:0008565,protein transporter activity,down
GO:0005375,copper ion transmembrane transporter activity,down
GO:0006839,mitochondrial transport,down
GO:0006412,translation,down
GO:0007498,mesoderm development,down
GO:0009058,biosynthetic process,down
GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",down
GO:0007155,cell adhesion,down
GO:0022610,biological adhesion,down
GO:0009059,macromolecule biosynthetic process,down
GO:0003796,lysozyme activity,down
GO:0008109,"N-acetyllactosaminide beta-1,6-N-acetylglucosaminyltransferase activity",down
GO:0003868,4-hydroxyphenylpyruvate dioxygenase activity,down
GO:0004395,hexaprenyldihydroxybenzoate methyltransferase activity,down
GO:0004367,glycerol-3-phosphate dehydrogenase (NAD+) activity,down
GO:0003999,adenine phosphoribosyltransferase activity,down
GO:0048038,quinone binding,down
GO:0003837,beta-ureidopropionase activity,down
GO:0010420,polyprenyldihydroxybenzoate methyltransferase activity,down
GO:0030580,quinone cofactor methyltransferase activity,down
GO:0016838,"carbon-oxygen lyase activity, acting on phosphates",down
GO:0015088,copper uptake transmembrane transporter activity,down
GO:0008169,C-methyltransferase activity,down
GO:0003874,6-pyruvoyltetrahydropterin synthase activity,down
GO:0003785,actin monomer binding,down
GO:0008531,riboflavin kinase activity,down
GO:0004213,cathepsin B activity,down
GO:0008124,4-alpha-hydroxytetrahydrobiopterin dehydratase activity,down
GO:0048039,ubiquinone binding,down
GO:0008425,"2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity",down
GO:0009231,riboflavin biosynthetic process,down
GO:0000391,U2-dependent spliceosome disassembly,down
GO:0000390,spliceosome disassembly,down
GO:0045822,negative regulation of heart contraction,down
GO:0006127,glycerophosphate shuttle,down
GO:0043101,purine salvage,down
GO:0006166,purine ribonucleoside salvage,down
GO:0042726,riboflavin and derivative metabolic process,down
GO:0006771,riboflavin metabolic process,down
GO:0030104,water homeostasis,down
GO:0043094,metabolic compound salvage,down
GO:0018987,osmoregulation,down
GO:0006072,glycerol-3-phosphate metabolic process,down
GO:0043174,nucleoside salvage,down
GO:0042727,riboflavin and derivative biosynthetic process,down
GO:0032988,protein-RNA complex disassembly,down
GO:0004867,serine-type endopeptidase inhibitor activity,down
GO:0030414,protease inhibitor activity,down
GO:0004866,endopeptidase inhibitor activity,down
GO:0016543,"male courtship behavior, orientation prior to leg tapping and wing vibration",down
GO:0048047,"mating behavior, sex discrimination",down
GO:0004648,phosphoserine transaminase activity,down
GO:0004516,nicotinate phosphoribosyltransferase activity,down
GO:0008084,imaginal disc growth factor activity,down
GO:0006644,phospholipid metabolic process,down
GO:0006684,sphingomyelin metabolic process,down
GO:0008614,pyridoxine metabolic process,down
GO:0008615,pyridoxine biosynthetic process,down
GO:0006555,methionine metabolic process,down
GO:0042816,vitamin B6 metabolic process,down
GO:0006833,water transport,down
GO:0042819,vitamin B6 biosynthetic process,down
GO:0008242,omega peptidase activity,down
GO:0004523,ribonuclease H activity,down
GO:0004305,ethanolamine kinase activity,down
GO:0042834,peptidoglycan binding,down
GO:0004103,choline kinase activity,down
GO:0009309,amine biosynthetic process,down
GO:0017111,nucleoside-triphosphatase activity,down
GO:0044271,nitrogen compound biosynthetic process,down
GO:0016462,pyrophosphatase activity,down
GO:0016818,"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",down
GO:0016817,"hydrolase activity, acting on acid anhydrides",down
GO:0006643,membrane lipid metabolic process,down
GO:0044255,cellular lipid metabolic process,down
GO:0006563,L-serine metabolic process,down
GO:0046958,nonassociative learning,down
GO:0009410,response to xenobiotic stimulus,down
GO:0006564,L-serine biosynthetic process,down
GO:0006805,xenobiotic metabolic process,down
GO:0019889,pteridine metabolic process,down
GO:0009404,toxin metabolic process,down
GO:0009615,response to virus,down
GO:0017143,insecticide metabolic process,down
GO:0006728,pteridine biosynthetic process,down
GO:0004857,enzyme inhibitor activity,down
GO:0006629,lipid metabolic process,down
GO:0019003,GDP binding,down
GO:0004767,sphingomyelin phosphodiesterase activity,down
GO:0015250,water channel activity,down
GO:0032036,myosin heavy chain binding,down
GO:0007638,mechanosensory behavior,down
GO:0008306,associative learning,down
GO:0042364,water-soluble vitamin biosynthetic process,down
GO:0051294,establishment of spindle orientation,down
GO:0009070,serine family amino acid biosynthetic process,down
GO:0009888,tissue development,down
GO:0007417,central nervous system development,down
GO:0008104,protein localization,down
GO:0003924,GTPase activity,down
GO:0008175,tRNA methyltransferase activity,down
GO:0008610,lipid biosynthetic process,down
GO:0008171,O-methyltransferase activity,down
GO:0016485,protein processing,down
GO:0008417,fucosyltransferase activity,down
GO:0044260,cellular macromolecule metabolic process,down
GO:0008645,hexose transport,down
GO:0006304,DNA modification,down
GO:0006306,DNA methylation,down
GO:0006305,DNA alkylation,down
GO:0007313,"maternal determination of dorsal/ventral axis, oocyte, soma encoded",down
GO:0048728,proboscis development,down
GO:0035213,clypeo-labral disc development,down
GO:0004303,estradiol 17-beta-dehydrogenase activity,down
GO:0004394,heparan sulfate 2-O-sulfotransferase activity,down
GO:0015185,L-gamma-aminobutyric acid transmembrane transporter activity,down
GO:0008322,Pro-X carboxypeptidase activity,down
GO:0004188,serine-type Pro-X carboxypeptidase activity,down
GO:0044267,cellular protein metabolic process,down
GO:0019538,protein metabolic process,down
GO:0003995,acyl-CoA dehydrogenase activity,down
GO:0006520,amino acid metabolic process,down
GO:0001871,pattern binding,down
GO:0016645,"oxidoreductase activity, acting on the CH-NH group of donors",down
GO:0008643,carbohydrate transport,down
GO:0008061,chitin binding,down
GO:0008168,methyltransferase activity,down
GO:0016741,"transferase activity, transferring one-carbon groups",down
GO:0008757,S-adenosylmethionine-dependent methyltransferase activity,down
GO:0015781,pyrimidine nucleotide-sugar transport,down
GO:0015780,nucleotide-sugar transport,down
GO:0004550,nucleoside diphosphate kinase activity,down
GO:0006399,tRNA metabolic process,down
GO:0016614,"oxidoreductase activity, acting on CH-OH group of donors",down
GO:0008219,cell death,down
GO:0016620,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",down
GO:0016265,death,down
GO:0042445,hormone metabolic process,down
GO:0016835,carbon-oxygen lyase activity,down
GO:0007031,peroxisome organization and biogenesis,down
GO:0006418,tRNA aminoacylation for protein translation,down
GO:0043068,positive regulation of programmed cell death,down
GO:0043039,tRNA aminoacylation,down
GO:0009081,branched chain family amino acid metabolic process,down
GO:0000723,telomere maintenance,down
GO:0015749,monosaccharide transport,down
GO:0032200,telomere organization and biogenesis,down
GO:0004497,monooxygenase activity,down
GO:0012501,programmed cell death,down
